                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.7182,                 1.3809,                0.97966,                0.52753,                0.46494,                0.47928,                0.32657,                 1.6594,                 1.2721,                0.97191,              0.0002038,              0.0002038,              0.0002038
                     36,                 1.7534,                 1.3815,                0.98104,                0.53281,                0.47614,                0.49121,                0.33356,                 1.6602,                 1.2686,                0.96919,             0.00019216,             0.00019216,             0.00019216
                     37,                 1.6945,                 1.3607,                0.97116,                0.52236,                0.48391,                0.49476,                0.33899,                 1.6445,                 1.2511,                0.96869,             0.00018052,             0.00018052,             0.00018052
                     38,                 1.6979,                 1.3507,                0.97527,                0.54567,                0.46504,                0.49846,                0.33785,                 1.6507,                 1.2495,                0.96727,             0.00016887,             0.00016887,             0.00016887
                     39,                 1.7126,                 1.3546,                0.97287,                0.52289,                0.49813,                0.50387,                0.34066,                 1.6407,                 1.2414,                0.96615,             0.00015723,             0.00015723,             0.00015723
                     40,                 1.6836,                 1.3389,                  0.969,                0.56056,                0.47093,                0.51571,                0.35308,                 1.6432,                 1.2299,                0.96596,             0.00014559,             0.00014559,             0.00014559
                     41,                 1.7298,                 1.4693,                0.98107,                0.54497,                0.47685,                0.48555,                0.32595,                 1.6524,                 1.3075,                0.97211,             0.00013395,             0.00013395,             0.00013395
                     42,                  1.722,                  1.396,                0.98092,                0.60129,                 0.4558,                0.50314,                0.33598,                 1.6442,                 1.2682,                0.96819,              0.0001223,              0.0001223,              0.0001223
                     43,                 1.6947,                 1.3744,                0.97038,                0.57214,                0.46108,                  0.499,                0.33695,                 1.6581,                  1.272,                0.97047,             0.00011066,             0.00011066,             0.00011066
                     44,                 1.7075,                 1.3683,                0.97078,                0.54706,                0.47812,                0.50581,                0.34253,                 1.6517,                 1.2654,                0.96596,             9.9019e-05,             9.9019e-05,             9.9019e-05
                     45,                 1.6898,                 1.3467,                0.96465,                0.56132,                0.47325,                0.50767,                0.34635,                 1.6387,                 1.2502,                0.96555,             8.7377e-05,             8.7377e-05,             8.7377e-05
                     46,                 1.6863,                 1.3332,                0.97005,                0.51194,                0.49459,                 0.5065,                0.34276,                 1.6457,                  1.244,                0.96304,             7.5734e-05,             7.5734e-05,             7.5734e-05
                     47,                 1.6704,                 1.3221,                0.96599,                0.62439,                0.46252,                0.51166,                0.34607,                 1.6273,                 1.2351,                0.96078,             6.4092e-05,             6.4092e-05,             6.4092e-05
                     48,                 1.6722,                 1.3043,                0.96452,                0.59734,                0.48084,                0.51131,                0.35061,                 1.6253,                 1.2294,                0.96002,              5.245e-05,              5.245e-05,              5.245e-05
                     49,                 1.6738,                 1.3128,                0.96385,                0.56626,                0.50157,                0.51868,                0.35592,                 1.6286,                  1.225,                0.96079,             4.0807e-05,             4.0807e-05,             4.0807e-05
                     50,                 1.6603,                 1.3024,                0.95867,                0.53891,                0.50206,                0.51843,                0.35614,                  1.624,                 1.2234,                0.95929,             2.9165e-05,             2.9165e-05,             2.9165e-05
